English,Hindi,Kannada,Marathi,Tamil,Bengali,Malayalam,Telugu
Wheat flour,Atta,Godhi hittu,NA,Gothumai maavu,NA,Gothambu mavu,Goduma pindi
Maize,Bhutta,Musikinu jola,NA,Makka Cholam,NA,Cholam,Mokka jonnalu
Sorghum,Juar,Jola,NA,Cholam,NA,Cholam,Jonnalu
Cattail millet,Bajra,Sajje,NA,Kambu,NA,Kambu,Sazzalu
Foxtail millet,Kangni,Thene,NA,Thenai,NA,Thina,Korralu
Finger Millet,Madua,Ragi,NA,Kezhvaragu,NA,Moothari,Ragulu
Samai,Mutki,Samai,NA,Samai,NA,Chama,Samai
Ladies fingers,Bhindi,Bende,NA,Vendakkai,NA,Vendakka,Benda kayi
Brinjal,Baingan,Badane,NA,Kathiri,NA,Vazhuthininga,Vankaya
Papaya,Papita,Parangi,NA,Pappali,NA,Omakaya,Boppayi
Banana green,Kela,Bale kayi,NA,Vazhakkai,NA,Vazhakka,Arati kayi
Bengaigram,Chenna,Kadale,NA,Kondai kadalai,NA,Kadala,Sanagalu
Cowpea,Lobia,Alasande,NA,Karamani,NA,Payar,Bobbarlu
Indian bean,Val,Avare,NA,Mochai,NA,Avara,Chikkudu
Broad beans,Bakia,Chapparadavare,NA,Avarai,NA,Avarakka,Pedda chikkudu
Cluster beans,Guar-ki-phalli,Gori kayi,NA,Kothavarai,NA,Kothavara,Goruchikkudu
Cucumber,Khira,Souche kayi,NA,Vellari kai,NA,Vellarikka,Dosa kayi
Greengram, ,Hesare kalu,NA,Pasipayir,NA,Cheru Pararu,Pesalu
Mung,Hurule,Muthira,NA,Horsegram,NA,Ulavalu,Kollu
Lentil,Masur dal,Masur bele,NA,Kesari paruppu,NA,Masur parippu,Misur pappu
Peas,Katar,Batani,NA,Pattani,NA,Pattani,Batani
Redgram,Arhar,Thugare,NA,Thuvarai,NA,Tuvara,Kandi
Agathi,Agasti,Agase,NA,Agathi,NA,Agathi,Avise
Cabbage,Band Gobee,Kosu,NA,Muttaikose,NA,Gos koora,Mutta gose
Coriander leaves,Hara dhania,Kothambari Soppu,NA,Kothamalli,NA,Kothamalli,Kothimiri
Drumstick,Saijan,Nugge,NA,Murungai,NA,Muringa,Mulaga
Ash gourd,Petha,Budagumbala,NA,Poosini kai,NA,Kumbalanga,Boodida gummadi
Bitter gourd,Karela,Hagal kai,NA,Pavakkai,NA,Kaippakka,Kakara kayi
Bottle gourd,Lowki,Sorekai,NA,Surai kai,NA,Charanga,Anapakaya
Pumpkin,Kaddu,Kumbala,NA,Parangi kai,NA,Mathan,Gummadi kayi
Ribbed gourd,Torai,Heeraikai,NA,Peerkan kai,NA,Peechinga,Beera kayi
Gingelly,Til,Acchsilu,NA,Eli,NA,Ellu,Nuvvuiu
Sunflower,Surya mukhi,surykaamti,NA,Surya kanthi,NA,Surya kanthi,Podduthirugudu puvvu ginzalu
Coconut,Nariyal,Thengini Kai,NA,Thengai,NA,Thenga,Kobbari
Groundnut,Moong phalli,Kadale kayi,NA,Kadalal,NA,Nilakkadalai,Verusanaga
Mustard,Rai,Sasuve,NA,Kadugu,NA,Kadugu,Avalu
Chilies,Mirch,Menasina kayi,NA,Milagai,NA,Mulaku,Mirapa kaya
Turmeric,Haldi,Arashina,NA,Manjal,NA,Manjal,Pasupu
